Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
02-0827;Bolzen mit Gewinde und Mutter 160 x 25 mm;16;2,5;2,5;0,6;1195FF
3440705;MK 5 Mitlaufende Zentrierspitze;28;9;10;322;1196FF
4933446195;M18BDD-202X  Akku-Bohrschrauber Milwaukee;47,5;36,3;13,2;5,58;1197FF
4932371771;HSS Kernlochbohrer, lang 44 x 50 mm Milwaukee;11,7;5,1;5,4;0,32;1198FF
02-01009;AMD-R100 Ferngesteuerter Diesel-Rasenmäher mit Raupenantrieb – 1000? mm Schnittbreite;156;117;82;415;1199FF
4932479986;M18FOPH-BCA QUIK-LOK™ Sensen-Aufsatz Milwaukee;11,7;24,5;10,7;3,5;1200FF
48532772;Spirale für Akku-Rohrreiniger M18FFSDC 8 mm x 23 m mit Keulenkopf Milwaukee;49,5;47,8;7,4;6,78;1201FF
4932479447;"Pressschlinge J18-MP2"" Nennweite MP2"" für M18ONEBLHPT & M18BLHPT Milwaukee";23;16;10;2,4;1202FF
4932459462;Presseinsatz für hydraulisches Akku-Presswerkzeug NF13 Cu 240 Milwaukee;7;4;4;0,17;1203FF
4932480729;HSFSM -CC50 50 mm Standardkette für M18™ Hochgeschwindigkeitsrohrreiniger mit biegsamer Welle zum Entkalken von Abflüssen Milwaukee;2,3;5,3;12,4;0,15;1204FF
4932493973;HSS-Kegelsenker 90° Rundschaft DIN 335C 16,5 mm HSS, Senkung M8 Milwaukee;3;5;13;0,04;1205FF
JET.6NM3APOWER;JET Werkzeugwagen leer 6 Schubladen mit Power-Schublade M3, Schwarz | FACOM;81,5;57,5;100,5;75;1206FF
4312035;35 mm Gleitschuh;0;0;0;0;1207FF
3655122;2450 x 27 x 0,9 mm 5-8 ZpZ Sägeband;270;270;56;5;1208FF
3353014;MSM 3 Maschinenunterbau;910;680;570;985;1209FF
3440360;Ø max. 34 mm für TU 2304 Mitlaufende Lünette;210;210;60;15;1210FF
4932352007;Hammerbohrer MX4 SDS-Plus 5 x 115 mm, SDS-Plus 4-Schneiden Milwaukee;17,6;3,7;1,3;0,04;1211FF
4932399966;Aufnahmeschaft SDS-Plus 105 mm für hammerfeste Schlagbohrkrone Milwaukee;17,7;6;2,6;0,13;1212FF
4932352358;Metallbohrer HSS-G THUNDERWEB DIN 338 6,0 x 93 mm, HSS-G Milwaukee;14,6;4,8;0,1;0,02;1213FF
49560067;Lochsäge Bi-Metall 33 mm Hole Dozer Milwaukee;7;10;4;0,09;1214FF
4932472187;"Diamant-Nassbohrkrone WCHP-TK 66 x 525 mm / 1 1/4"" UNC Milwaukee";54,8;10,4;11,4;1,78;1215FF
4932471723;PACKOUT Kompakt-Werkzeugbox 410 x 250 x 330 mm Milwaukee;33;26;41;3,07;1216FF
3649825;1m, Zwischenstück Schienenverlängerung für Anschlag mit Skala;0;0;0;0;1217FF
3354001;20-teilig Parallel-Unterlegplatten-Satz;75;290;225;275;1218FF
4933478496;M18ONEFHPX-552X ONE KEY™ Akku-Kombihammer Milwaukee;21,5;47,5;35,5;11,39;1219FF
4933478408;M18FCSSM-0 FUEL™ Akku-Kompakt-Teilspiralmaschine Milwaukee;59,3;58,7;41,9;21,04;1220FF
4932430269;Pressbacke J18-V28 Nennweite V28 für 18 V Presswerkzeug Milwaukee;22,6;15,6;9,6;2,15;1221FF
4932459297;Absaugbohrer SDS-Max 32 x 600 mm Milwaukee;4,9;68,5;4,9;1,6;1222FF
4932363672;CV-Schalungsbohrer DIN 7490 18 x 400 mm Milwaukee;45;4;2,5;0,31;1223FF
49565180;Lochsäge Bi-Metall 76 mm Hole Dozer Großpack Milwaukee;7,6;7,6;4,8;0,2;1224FF
4932492962;PACKOUT Erste-Hilfe-Kit XL im PACKOUT Organiser DIN 13157 Milwaukee;40,1;50,4;12,2;4,42;1225FF
02-0250;RETTER Werkstatteinrichtung 3300 x 480 x 1905 SET 16-tlg. - Schranksystem RTX-8000;108;80,3;203;288;1226FF
02-0893-20 mm;"Steckschlüssel-Einsatz Sechskant - Innenvierkant 12,5 mm (1/2"") | SW 6-32 mm 20 mm";10;5;5;0,3;1227FF
3888066;"1 1/2"" Grauguß-Biegesegment";0;0;0;0;1228FF
3351546;HSS Bi-Metall M 42, 1440 x 13 x 0,65 mm, 6-10 ZpZ, 0° Sägeband;25;25;15;3;1229FF
3354263;WPS-3 Werkstück-Stütze;90;40;40;12;1230FF
4933459432;M12UHL-0 Akku-Motorhaubenleuchte Milwaukee;11,8;22,2;121,6;3,12;1231FF
48091091;Druckstange lang für 600 ml Aufnahme C18 PCG Milwaukee;52,2;6,5;6,9;0,42;1232FF
4932363686;WS-Holz Schlangenbohrer 18 x 230 mm Milwaukee;29,5;4;29,5;0,22;1233FF
4932373346;HSS-G RED COBALT Metallbohrer DIN 338   10er Pack 6,5 x 101 mm, HSS-G Co Milwaukee;15,5;3;3;0,24;1234FF
4932500063;Hammerbohrer MX4 SDS-Plus Set 5-teilig Milwaukee 5/6 x 115 mm,6/8/10 x 165 mm Set in PACKOUT kompatibler Kassette;6;25,5;26,5;0,4;1235FF
02-0856;Steckadapter Transporterhöhungen für 2 Säulenhebebühne 90 mm - Ø50mm;12;5;5;1;1236FF
3658020;2765 x 27 x 0,9 mm 3-4 ZpZ Sägeband;2765;1;27;25;1237FF
4933479834;M18FFUS-0C  FUEL™ Akku-Klammergerät Milwaukee;58,5;19,9;42,5;8,88;1238FF
4932430146;Hammerbohrer MX4 SDS-Plus 6,5 x 165 mm, SDS-Plus 4-Schneiden Milwaukee;0,7;3,7;22,5;0,05;1239FF
4932352020;Hammerbohrer MX4 SDS-Plus 7 x 165 mm, SDS-Plus 4-Schneiden Milwaukee;1,5;3,6;22,4;0,06;1240FF
4932493872;"SHOCKWAVE Multimaterial Bohrer 1/4"" Hex Set 8-teilig 4/5/5,5/5,5/6/7/8/10 mm in PACKOUT kompatibler Kassette Milwaukee";18,5;5;24;0,34;1241FF
4932471173;Premium-Betonbohrer Rundschaft 5,5 x 100 mm Milwaukee;4,8;15;0,6;0,01;1242FF
4932352052;"Diamant-Nassbohrkrone WCHP 172 x 525 mm / 1 1/4"" UNC Milwaukee";56,5;38;41;8,02;1243FF
4933459198;"Milwaukee M18 1/2"" Schlagschrauber mit Reibring ONE-KEY™ M18ONEIWF12-0X";47,3;13;36,3;7,65;1244FF
3530231;150 mm - gerändelt für MVSP Spannbackenset;0;0;0;18;1245FF
3442960;Lang vierkant 10 mm Drehfutterschlüssel;280;200;15;52;1246FF
3383841;LMS 1M (1.300 mm) Abläng- und Längenmesssystem;1590;205;205;28;1247FF
4933478447;"M18FIW2P12-502X FUEL™ Akku-Schlagschrauber 1/2"" Vierkant PIN Milwaukee";46;12;34,5;5,81;1248FF
4933479617;M12FNB16-0  FUEL™ Akku-Knabber Milwaukee;29,8;8,7;18;1,67;1249FF
4932399320;Hammerbohrer M2 SDS-Plus 5,5 x 410 mm, SDS-Plus 2-Schneiden Milwaukee;1,3;3,6;47,5;0,08;1250FF
4932430733;Hammerbohrkrone SDS-Max 60 x 100 mm zweiteilig Milwaukee;8;8;14;0,74;1251FF
3353025;M 12 / 14 mm T-Nutenstein;16;29;23;7;1252FF
4933493549;MXFFORGENRG-122 MX FUEL™ NRG-122 Kit Milwaukee;45,1;60,9;4,8;24,59;1253FF
4932430261;Pressbacke J18-V12 Nennweite V12 für 18 V Presswerkzeug Milwaukee;22,7;15,9;9,7;2,16;1254FF
4932399176;Hammerbohrer M2 SDS-Plus, 50er-Pack 5 x 110 mm, SDS-Plus 2-Schneiden Milwaukee;13;7;7;1,76;1255FF
4932352495;Flachholzbohrer 18 x 400 mm Milwaukee;19;48;1;0,12;1256FF
4932363669;CV-Schalungsbohrer DIN 7490 12 x 400 mm Milwaukee;44,5;2;2;0,19;1257FF
4932480453;"SHOCKWAVE Schlagnuss 1/4"" lang Set 12-teliges Set auf Schiene Milwaukee";4,5;14;34;0,6;1258FF
4932480281;"SHOCKWAVE Schlagnuss 3/8"" lang 7 x 65 mm Milwaukee";9,8;13,8;2,6;0,07;1259FF
3883103;Hydraulischer Hilfskran;0;0;0;0;1260FF
3357536;HSS Bi-Metall, M 42 2645 x 27 x 0,9 mm, 5-7 ZpZ, 6° Sägeband;41;41;16;1;1261FF
3536365;für SK40 auf MK 3 Adapter;75;100;75;118;1262FF
3356811;"15 m 1/2"" Schlauchrolle-Gelenkschlauch";335;235;233;4;1263FF
4932464933;BIGHAWG Multimaterial-Lochsäge 92 mm Milwaukee;7,7;13,1;16,9;0,6;1264FF
02-0947;RETTER Werkbank 120 cm mit Holzplatte, Rückwand und Werkstattwagen - RT2000-Serie;195;120;49,5;118;1265FF
02-01029;Greifschaufel für Hoflader - AGROX E-Kompaktlader OX800E;90;60;80;107;1266FF
02-01240;Hydraulikmotor BM1-200 Orbitalmotor mit 200 ccm Schluckvolumen und Passfederwelle;22;8;8;6;1267FF
4933492826;M18BLPDRC-502C M18™ bürstenloser Akku-Schlagbohrschrauber Milwaukee;37,5;13,2;31,5;4,95;1268FF
4932367017;Hammerbohrer M2 SDS-Plus 12 x 1000 mm, SDS-Plus 2-Schneiden Milwaukee;0,6;3,7;106,8;0,4;1269FF
4932478274;Spitzmeißel SDS-Max Premium SLEDGE 20er Pack 400 mm Milwaukee;19;53,5;10;12,8;1270FF
4932373323;Metallbohrer HSS-R reduzierter Schaft 16 x 178 mm, HSS-R Milwaukee;24,5;4;2;0,17;1271FF
4932343302;HSS Kernlochbohrer, lang 27 x 50 mm Milwaukee;3,2;3,2;9;0,18;1272FF
4932464682;Lochsäge Bi-Metall 32 mm Contractor Milwaukee;9,6;5,3;5,8;0,1;1273FF
387.601.157;750 ml Universalschneidpaste;146;146;70;88;1274FF
4933499175;M18FCOS230-121 M18 FUEL™ Akku-Trennschleifer Milwaukee;67,1;29,2;34,6;9,42;1275FF
4932451776;Presseinsatz für hydraulisches Akku-Presswerkzeug DIN22 AL 150 für DIN AL Milwaukee;7;4;4;0,1;1276FF
4932307083;Hammerbohrer M2 SDS-Plus 18 x 250 mm, SDS-Plus 2-Schneiden Milwaukee;31,3;3,6;1,8;0,22;1277FF
4932352762;Hammerbohrer SDS-Max 18 x 940 mm, SDS-Max 4-Schneiden Milwaukee;95;4;3;1,16;1278FF
4932479491;Selbstbohrer 117 mm, 3-Kant Milwaukee;17,5;14;14;1,39;1279FF
4933478443;"Milwaukee M18 Akku-Schlagschrauber 1/2"" Vierkant-Sprengring M18FIW2F12-0X";47,3;12,5;36;7,56;1280FF
02-0770;"Erdbohrer vierkant 35 mm | Bohrschnecke nach Wahl - 200/250/300 mm - Kegelspalter Zubehör Komplettset inkl. 2x Hydraulikschläuche 3/8"" - 1000mm";0;0;0;51;1281FF
3797624;FF101 CNC-Steuerung mit 3D-Grafik;0;0;0;0;1282FF
3649045;2000 x 620 mm, motorisch Rollenbahnverlängerung;0;0;0;300;1283FF
4933478992;MSUV280 Untergestell für Kappsägen Milwaukee;59,8;27;134;35,11;1284FF
4933431600;M12CC-0 Akku-Kabelschneider Milwaukee;31,5;10;26;3,21;1285FF
4933459215;M18NRG-402 18V Starterset Milwaukee;31,5;20,4;8,8;2,58;1286FF
49165100;PTR2 DH NPT Schneidkopf für MXF PTR2 Milwaukee;34,6;32,7;17,4;7,1;1287FF
4932480889;J18-M28 Geberit Mapress J18-M28 Milwaukee;23;16;9,5;2,42;1288FF
4932459467;Presseinsatz für hydraulisches Akku-Presswerkzeug DIN13 Cu 35  Milwaukee;7;4;4;0,2;1289FF
4932472004;Hydrauliköl 1Liter für M18HUP700 Milwaukee;10;7;24;0,92;1290FF
4932399332;Hammerbohrer MX4 SDS-Plus 22 x 250 mm, SDS-Plus 4-Schneiden Milwaukee;3;3;27,5;0,38;1291FF
3880124;Typ E4, Ø 53 x 19 x 18 mm Biegerollensatz;57;57;48;4;1292FF
3658005;2450 x 27 x 0,9 mm 3-4 ZpZ Sägeband;2450;1;27;5;1293FF
4933451211;AG800-125E Winkelschleifer Milwaukee;13;33;11,5;2,7;1294FF
4932479620;RCO Fernbedienung für RCS Milwaukee;13;5;15,5;0,08;1295FF
4932459394;"Magnetbithalter 1/4"" 75 mm lang für M18 FSG Milwaukee";9;8,6;19,4;0,04;1296FF
4932493581;Softgrip-Ummantelung für M18FHIW2F13 Milwaukee;8,7;25;20,5;0,26;1297FF
4932471961;Glas-/Fliesenbohrer 12 x 95 mm Milwaukee;1,1;4,7;14,9;0,04;1298FF
4932459879;Metallbohrer HSS-G THUNDERWEB DIN 338   5er Pack 9,4 x 125 mm, HSS-G Milwaukee;3,1;3,1;15,1;0,28;1299FF
4932352214;Metallbohrer HSS-G kurz DIN 1897 6,0 x 66 mm, HSS-G kurz Milwaukee;9,6;2,5;2,7;0,14;1300FF
4932472167;"Diamant-Nassbohrkrone WCHP-TK 12 x 270 mm / 1/2"" G Milwaukee";6;38,8;6;0,3;1301FF
02-0905;Krokodilgebiss Greifschaufel mit Zange – für Hoflader OX500E | 85 cm Öffnung;95;70;57;93;1302FF
4060050;für WPP 50 VH und 50 VH XW und WPP 50-12 RP Prismenblock-Set;60;40;25;42;1303FF
3649360;2000 x 800 mm, 6 Rollen Rollenbahn;0;0;0;350;1304FF
3346225;ISO 40 inkl. Anbauadapter und Montagekosten Druckluft Werkzeugwechsler;1400;1850;2150;16;1305FF
3353313;Ø 12 mm - BT30 Weldon Halter;120;65;65;6;1306FF
49560739;Lochsäge mit HM-Verzahnung 92 mm Hole Dozer Milwaukee;5,6;12,7;15,2;0,38;1307FF
4933446790;PLH28E Kombihammer Milwaukee;14;45,5;37,5;6,27;1308FF
4932493875;"SHOCKWAVE Multimaterial Bohrer 1/4"" Hex 7 x 150 mm Milwaukee";5;1;35,5;0,03;1309FF
48894764;"SHOCKWAVE Metallbohrer HSS-G RED HEX Titan 1/4"" 5,5 x 104 mm Milwaukee";4,8;0,5;17,2;0,02;1310FF
4932430179;"Magnetbithalter 1/4"" mit Tiefeneinstellung für Trockenbauwände Milwaukee";3,6;13;2,2;0,03;1311FF
4932352026;Milwaukee MX4 - Hammerbohrer 1-tlg. SDS-Plus 10 x 165 mm;0;0;0;0;1312FF
4932471131;Packout Rucksack -1ST;0;0;0;0;1313FF
3649710;1000 x 450 mm, Abfuhrseite Rollenbahn;0;0;0;5;1314FF
3536313;Ø 12 mm Weldon Halter BT 30;65;120;65;85;1315FF
3354122;FMSN 125 Prismenbacke;0;0;0;59;1316FF
4932464688;Lochsäge Bi-Metall 48 mm Contractor Milwaukee;5,8;5,2;9,6;0,12;1317FF
4932399755;"Diamant-Trockenbohrkrone für Staubabsaugung DCHXL 117 x 490 mm / 1 1/4"" UNC Milwaukee";14;14;57,5;3,05;1318FF
03-0020-01-0112-02-0047;Reifendienst Set Hebebühne 4.200 kg & Reifenmontagemaschine & Reifenwuchtmaschine;0;0;0;850;1319FF
4933493592;M12SIM-0 M12™ Akku-Inspektionsmonitor Milwaukee;40;15,5;34,1;3,15;1320FF
4933464579;PH26TX Kombihammer Milwaukee;43;14;36;6,15;1321FF
4932480174;"Sägeschwert 40 cm / 16"" für M18 FCHS Sägeschwert 40 cm / 16"" für M18 FCHS Milwaukee";52,5;7,5;0,5;0,54;1322FF
4932464500;Presseinsatz für hydraulisches Akku-Presswerkzeug L13 Cu 16 Milwaukee;7;4;4;0,21;1323FF
4932363664;Holzspiralbohrer DIN 7487 E 16 x 151 mm Milwaukee;23,3;4;1,8;0,12;1324FF
48894710;"SHOCKWAVE Metallbohrer HSS-G RED HEX Titan 1/4"" 4,5 x 76 mm Milwaukee";14,5;4,7;1;0,02;1325FF
02-0664;RETTER Stehbolzenausdreher 5-19mm 1/2 Zoll Antrieb RT-B1056;0;0;0;1;1326FF
02-0851;12V Akku-Poliermaschine 75mm | 2-Gang-Getriebe | RETTER Cordless Polisher ATA-P01B2117 Rotationspolierer inkl. Polierpads und Zubehör;15;10;5;2;1327FF
02-0874;Druckschalter für Scherenhebebühnen, schwarz mit Pfeil;0;0;0;0;1328FF
02-0878;RETTER RS7 Werkstattwagen 402-tlg - 7 Schubladen Werkzeugwagen mit Edelstahl-Arbeitsplatte, Türfach und Vollauszug;107,5;45,5;88,5;72;1329FF
4311039;48,3 mm / R 193,2 mm Biegesegment;0;0;0;0;1330FF
4932472086;HCS Lochsäge 212 x 96 mm Milwaukee;21,6;21,6;10,8;1,9;1331FF
02-0929;Gummiauflage 130?mm x 28?mm für KFZ-Hebebühnen | Auflageteller;13;13;2,8;0,3;1332FF
4933498969;M12FSCIWF38-0 Milwaukee M12 FUEL™ 3/8?-Akku-Schlagschrauber Vierkant mit Sprengring;15,9;9,8;22,6;1,3;1333FF
4933499177;M18FSX-801C M18 FUEL™ Akku-Säbelsäge Milwaukee;62,5;14;46,5;10,57;1334FF
4933448030;AGV12-125XDEG-SET Winkelschleifer Milwaukee;37,1;20,2;47,9;7,42;1335FF
4932336597;Staubsack für BS100, BBS(E)1100 Milwaukee;14,7;49,6;4;0,08;1336FF
4932459720;MSLA3 Tragegurt für MSL 2000 Milwaukee;23;8;55;0,32;1337FF
4932430725;Hammerbohrer MX4 SDS-Plus 15 x 160 mm, SDS-Plus 4-Schneiden Milwaukee;1,5;3,7;22;0,12;1338FF
4932459856;Metallbohrer HSS-G THUNDERWEB DIN 338   10er Pack 5,7 x 93 mm, HSS-G Milwaukee;14,7;3,3;3,1;0,16;1339FF
01-0006;CDD15R-EN Elektrischer Gabelstapler - Tragkraft 1.500 kg | Max. Hubhöhe 3.0 m;175;80;90;755;1340FF
02-0577;Kettendumper 1,4 t - Kompaktlader 16 PS | Leistungsstarker KUBOTA Motor | Rhinoceros KS925;212;94;142;1500;1341FF
3790038;Ø25 R62,5 Biegesegment-Set;170;155;50;382;1342FF
4933432690;AGV17-125XEProTector/Totmannschalter Winkelschleifer Milwaukee;49,5;19;9;3,89;1343FF
4933480588;M12FPP2A2-602X M12 FUEL Powerpack Milwaukee;13;47,5;36;5,56;1344FF
4932363258;HSS-G RED COBALT Metallbohrer DIN 338 4,0 x 75 mm, HSS-G Co Milwaukee;0,7;4,8;14,6;0,01;1345FF
4932363268;HSS-G RED COBALT Metallbohrer DIN 338 6,0 x 93 mm, HSS-G Co Milwaukee;1;5;15;0,02;1346FF
4932352395;Metallbohrer HSS-G THUNDERWEB DIN 338   5er Pack 8,0 x 117 mm, HSS-G Milwaukee;15;3;3;0,2;1347FF
49560807;Lochsäge mit HM-Verzahnung 27 mm Hole Dozer Milwaukee;10,1;5,2;3,5;0,06;1348FF
02-0916;RETTER Werkzeugwagen R23 inkl. 372 Werkzeuge, Alu-Einlagen, Holzplatte, 12V Akku Schlagschrauber und Akku Ratsche;115,5;46,5;97;127;1349FF
02-01058;Reifenventile Gummi - 4 Stück Set - TR412–TR418;10;10;2;0,2;1350FF
4312017;17,2 mm Gleitschuh;0;0;0;0;1351FF
3640065;für Spänebehälter und Werkstückbehälter Fahrvorrichtung;0;0;0;6;1352FF
3536214;HCV 125 CNC-Hydraulikschraubstock;540;240;250;425;1353FF
4933459710;M18FFSDC16-502 FUEL™ Akku-Rohrreiniger 16 mm Milwaukee;48;80;54;35,36;1354FF
4932451789;Presseinsatz für hydraulisches Akku-Presswerkzeug RU22 Cu300/AL240 für Cu/Al Milwaukee;7,1;4,4;4,3;0,17;1355FF
4932492055;Fräsbohrkrone SDS-Max 45 x 990 mm einteilig Milwaukee;104;6,5;6,5;2,97;1356FF
4932363703;Forstnerbohrer 10 x 90 mm Milwaukee;13;4;2;0,04;1357FF
49565165;Lochsäge Bi-Metall 54 mm Hole Dozer Großpack Milwaukee;36,9;34,4;7,1;0,12;1358FF
4101020;für WPP 20 6-teiliger Druckdornsatz mit Lochplatte;0;0;0;4;1359FF
4933478993;M18FFN21-0C FUEL™ Akku Nagler Milwaukee;18,5;67;55,7;10,67;1360FF
02-01093;Pneumatischer Luft-hydraulischer RT-80TL/3 - LKW Wagenheber 80 Tonnen RETTER;85;26;148;65;1361FF
4933500558;M18FBJS-0 Milwaukee M18 FUEL™ Akku-Stichsäge;47,4;13,7;36,9;2,85;1362FF
4933480739;M12360IC12-0C Akku-Inspektionskamera Milwaukee;37;15;31;2,8;1363FF
4932478838;FPT2AK-RI Gewindeschneidkluppe Adapterkit RIDGID Milwaukee;16,5;25;9,5;2,47;1364FF
4932464491;Presseinsatz für hydraulisches Akku-Presswerkzeug L22 Cu 70 Milwaukee;7;4;4;0,11;1365FF
4932352781;Hammerbohrer SDS-Max 28 x 920 mm, SDS-Max 4-Schneiden Milwaukee;94,3;3,5;3,5;2,03;1366FF
4932498352;"Diamantbohrer DIAMOND MAX 1/4"" Hex 32 mm Milwaukee";3,9;6,6;7,2;0,04;1367FF
4932480295;"SHOCKWAVE Schlagnuss 3/8"" lang 21 x 65 mm Milwaukee";8,2;13,6;3,9;0,19;1368FF
3649702;1000 x 350 mm, Abfuhrseite Verbindungsrollenbahn;0;0;0;0;1369FF
3655146;3100 x 27 x 0,9mm 4-6 ZpZ Sägeband;338;338;55;62;1370FF
3356596;KT 179 Kreuztisch;654;470;317;58;1371FF
3354165;RTU 165 Horizontal-Vertikal-Rundteiltisch mit 3-Backenfutter;420;380;350;50;1372FF
4933478889;M18FHX-552X FUEL ™ Akku-Kombihammer Milwaukee;26,5;50,5;41;11,45;1373FF
4932430866;Schrauberbit SHOCKWAVE (10er Pack) PZ2 / 50 mm Milwaukee;5;2,3;6,2;0,1;1374FF
41012W;WARTER CUT-250 PRO Kompaktes 4-in-1 Multifunktions-Invertergerät für WIG, MIG/MAG, MMA & Plasma CUT 200A und 50A Kombigerät mit Plasma-Funktion;0;0;0;14;1375FF
4933499181;M18FMS305-121 M18 FUEL™Akku-Kapp-und Gehrungssäge Milwaukee;64;16;47,4;12,53;1376FF
4932399333;Hammerbohrer MX4 SDS-Plus 25 x 250 mm, SDS-Plus 4-Schneiden Milwaukee;31,4;3,7;2,4;0,44;1377FF
4932352520;Hammerbohrer M2 SDS-Plus, 10er-Pack 5 x 160 mm, SDS-Plus 2-Schneiden Milwaukee;18,5;3,5;4;0,41;1378FF
4932493892;Premium-Betonbohrer Rundschaft 12 x 400 mm Milwaukee;5;1;35,5;0,18;1379FF
4932479547;SWITCHBLADE Ersatzmesser 38 mm Milwaukee;4,8;12,1;0,4;0,01;1380FF
4932343277;HSS Kernlochbohrer, kurz 21 x 30 mm Milwaukee;2,2;2,2;7,5;0,11;1381FF
3790036;Ø22 R66 Biegesegment-Set;0;0;0;0;1382FF
3655000;3100 x 27 x 0,9mm 3-4 ZpZ Sägeband;335;335;73;62;1383FF
3536455;Ø 20 mm Weldon Halter HSK63A;100;75;75;14;1384FF
3352741;ER16 Spannzangenfutter;36;104;36;55;1385FF
4932352399;Metallbohrer HSS-G THUNDERWEB DIN 338   5er Pack 10,0 x 133 mm, HSS-G Milwaukee;5;5;19;0,37;1386FF
4932471573;Schrauberbit SHOCKWAVE TX20 / 150 mm Milwaukee;4,7;19,7;0,7;0,04;1387FF
4932493991;?PACKOUT Isolierflasche  530 ml mit Schraubdeckel, rot Milwaukee;7,7;7,7;26,5;0,6;1388FF
B RT01Y8018;Befestigung - Deluxe Verbindungsstück 110 x 15 x 1956 mm | RETTER Schranksystem Eckmodul - RT01Y8018;11;1,5;195,6;1,5;1389FF
4932352022;Milwaukee MX4 - Hammerbohrer 1-tlg. SDS-Plus 8 x 165 mm;9,5;5,5;17,5;0,49;1390FF
3772921;Hinteranschlag bis 500 mm, manuell;1930;270;80;185;1391FF
4312040;40 mm Gleitschuh;0;0;0;0;1392FF
3649176;390 mm Horizontale Bündelspannrolle;0;0;0;25;1393FF
3536410;HSK 63A Konus Wischer;150;70;70;12;1394FF
4932430746;Fräsbohrkrone SDS-Max Variosystem 68 x 150 mm mit Rundgewinde Milwaukee;8;8;20,5;1,13;1395FF
4932493975;HSS-CO Kegelsenker 90° Rundschaft DIN 335C 6,3 mm HSS-CO, Senkung M3 Milwaukee;2;4;13;0,01;1396FF
4932479054;TCT Lochsäge HM-bestückt einteilig 76 mm Milwaukee;12,7;9,4;17;0,44;1397FF
4932430876;Schrauberbit SHOCKWAVE TX20 / 50 mm Milwaukee;1;4,7;10;0,01;1398FF
3776106;für SSG 16 Stauchbackenset Metall;0;0;0;15;1399FF
3441763;ISO SCMT09T304 HM-Ersatzwendeplatten;100;45;10;6;1400FF
4933492100;MXFPTR2-601 ?MX FUEL™ 2? Stationäres Akku-Gewindeschneidgerät mit ONE-KEY™ Milwaukee;138;80;64,5;157;1401FF
4932430336;Metallbohrer HSS-G lang DIN 340 6,0 x 139 mm, HSS-G lang Milwaukee;16;3;3;0,24;1402FF
4932399885;Lochsäge Bi-Metall 160 mm STANDARD Milwaukee;24;21,4;5,2;1,06;1403FF
02-01090;Akku Maschinen SET - 20V Akku Bohrmaschine + Winkelschleifer SET;0;0;0;4;1404FF
2200033;Aircraft Stecktülle 13 mm;4,5;1,2;1,2;0,51;1405FF
3655100;3100 x 27 x 0,9mm 2-3 ZpZ Sägeband;0;0;0;62;1406FF
3352985;SEU1 Präzisions-Maschinenschuh;162;127;39;38;1407FF
3441315;für TU 2506 / TU 2506V Feststehende Lünette;210;210;60;24;1408FF
3000210;BSI 100 Maschinenschraubstock;400;215;120;85;1409FF
4932480272;"SHOCKWAVE Schlagnuss 3/8"" kurz 15 x 32 mm Milwaukee";8,3;13;4;0,06;1410FF
4933479867;M12FPD2-0 FUEL™ Akku-Kompakt-Schlagbohrschrauber Milwaukee;10;22;20,4;1,36;1411FF
4932459524;Presseinsatz für hydraulisches Akku-Presswerkzeug AEH13 Cu 240 Milwaukee;7;4;4;0,24;1412FF
4932500057;Hammerbohrer MX4 SDS-Plus 3,5 x 165 mm, SDS-Plus 4-Schneiden Milwaukee;4;1,5;22,5;0,04;1413FF
4932459865;Metallbohrer HSS-G THUNDERWEB DIN 338   5er Pack 7,4 x 109 mm, HSS-G Milwaukee;15,2;3,4;3,1;0,17;1414FF
49560052;Lochsäge Bi-Metall 29 mm Hole Dozer Milwaukee;5,1;9,9;3,5;0,08;1415FF
4932472189;"Diamant-Nassbohrkrone WCHP-TK 76 x 525 mm / 1 1/4"" UNC Milwaukee";55,6;10,2;11;1,98;1416FF
02-0563;Maul-Ringschlüssel-Satz - 7-teilig - XXL Schlüsselweiten 55 bis 85 mm | RETTER - ATA-ZH05C29;0;0;0;0;1417FF
4932352032;Milwaukee MX4 - Hammerbohrer 1-tlg. SDS-Plus 12 x 210 mm;0,7;3,7;51;0,1;1418FF
3797534;Schneider NC2 Steuerung;0;0;0;0;1419FF
3356660;KMS 2 Kühlmittelschläuche mit Magnetfuß;255;95;65;13;1420FF
48361205;"PTR2D 1/2""-3/4"" NPT HSS Gewindeschneideisen für MXF PTR2 Milwaukee";20;10,5;2;0,68;1421FF
4932493159;"J12-B 3/4"" 3/4"" Lizenzierte Pressbacke für Connex & Bänninger Maxi Pro B Presse Milwaukee";22,8;15,9;9,9;1,61;1422FF
4932352800;Hammerbohrer SDS-Max Set 5-teilig 16/18 x 540 mm, 20/22/25 x 520 mm Milwaukee;66;10;7;3,92;1423FF
48136766;SHOCKWAVE Schlangenbohrer 26 x 460 mm Milwaukee;49;4,1;4,1;0,79;1424FF
48899263;SHOCKWAVE Stufenbohrer 4 bis 20 mm, 2 mm Stufen Milwaukee;16,4;7,4;2,4;0,06;1425FF
4932478161;PACKOUT Trolley XL 950 x 600 x 400 mm Milwaukee;61,8;100,5;42,5;17,12;1426FF
02-0968;"RETTER Gewindeschneid-Satz Zoll 1/4"" - 1"" UNC UNF 45-tlg. mit Koffer RT-G45";40,5;35,5;7;5;1427FF
